Player_Name,Club,Goals,Assists,Passes_Completed,Tackles_Won,Interceptions,Clean_Sheets,Shot_Accuracy,Pass_Accuracy,Minutes_Played
Marcus Rashford,Manchester United,17,5,800,20,15,0,65.5,78.3,2700
Bruno Fernandes,Manchester United,8,12,1500,45,30,0,58.2,85.4,2850
Casemiro,Manchester United,4,3,1200,85,60,0,45.5,89.2,2400
Erling Haaland,Manchester City,36,8,450,10,5,0,75.8,82.1,2600
Kevin De Bruyne,Manchester City,10,18,1800,25,20,0,68.4,88.7,2500
Rodri,Manchester City,6,5,2200,95,70,0,52.3,92.5,2900
Mohamed Salah,Liverpool,22,10,900,15,10,0,72.5,81.2,2800
Virgil van Dijk,Liverpool,3,1,1600,120,80,15,45.2,89.8,2700
Trent Alexander-Arnold,Liverpool,4,12,1900,60,40,12,55.6,85.4,2600
Bukayo Saka,Arsenal,15,11,1100,30,25,0,68.9,84.2,2800
Martin Odegaard,Arsenal,12,9,1700,40,30,0,64.5,87.8,2750
William Saliba,Arsenal,2,1,1500,110,75,14,42.1,90.2,2650
